custom/mean_reward,custom/collision_num,custom/total_distance,time/num_timesteps,custom/total_reward,custom/collision_rate,custom/avg_center_dev,custom/avg_speed,custom/episode_length,custom/routes_completed,replay_buffer/sum_recent_rewards,custom/collision_interval,custom/CPS,custom/CPM,replay_buffer/mean_recent_rewards,custom/collision_speed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,rollout/ep_gt_rew_mean,train/std,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate
0.012445905104611287,0,27.7045052722915,3141,39.10503383868866,0.0,0.5574688675393407,0.5121239562632559,3142,0.717948717948718,,,,,,,,,,,,,,,,,,,
0.012250414736541464,1,14.122871650265552,3822,8.354782850321278,0.5,1.315022652217973,1.1583856028842092,682,0.059322033898305086,41.35401,3825,0.001466275659824047,70.80712936884879,0.08270802,4.248265952274064,,,,,,,,,,,,,
0.01507849126712215,2,27.33808272123133,7199,50.935143500338626,0.6666666666666666,0.3330436077663349,0.4739637364513991,3378,0.4827586206896552,90.42763,3378,0.0002960331557134399,36.57900995461467,0.18085526,0.6902042045820908,,,,,,,,,,,,,
,,,,,,,,,,111.26556,,,,0.22253111,,2399.6666666666665,3,0,10048,32.77300333333333,0.04978706315159798,13785,,,,,,
,,,,,,,,,,,,,,,,2399.6666666666665,3,0,10112,32.77300333333333,0.049795106053352356,13967,64,-0.006734308303293801,-1.0251898511342006,0.9972028024494648,0.8941925080725923,9.801049374924802e-05
0.00691361758765831,2,18.772528632350713,10131,20.277640384601824,0.5,1.0188458291719724,0.388788331920063,2933,0.33962264150943394,,,,,,,,,,,,,,128,-0.02846942888572812,-3.182906264439225,0.9910462712869048,0.40550123376306146,9.7997886128128e-05
-0.28159819630781774,2,4.288330367999151,10158,-7.8847494966188965,0.4,0.6871786595650595,8.877425759300715,28,0.05172413793103448,11.312779,,,,0.08702138,,,,,,,,,,,,,,
,,,,,,,,,,3.39218,,,,0.021606242,,2031.6,5,0,10176,22.127974199999997,0.04980231076478958,14147,,,,,,
,,,,,,,,,,,,,,,,2031.6,5,0,10240,22.127974199999997,0.049803074449300766,14328,192,-0.05130685176118277,-4.703727800399065,0.9841196788474917,0.5944847437785938,9.798527932211201e-05
-0.06639611842211908,3,4.733328084078039,10264,-7.104384671166741,0.5,1.3269427855869564,2.4472078214674426,107,0.03571428571428571,,3068,0.009345794392523364,211.2678399293297,,3.150290876881015,,,,,,,,256,-0.0749792619026266,-6.331830695271492,0.9775000801309943,0.3854541083564982,9.79726733312e-05
